city,dma_code,latitude,longitude,region,slug
Lexington,541,38.0317136,-84.4951359,KY,lexington-ky
Louisville,529,38.2542376,-85.759407,KY,louisville-ky
Mount Vernon,632,38.3172714,-88.9031201,IL,mount-vernon-il
Alexandria,644,31.3112936,-92.4451371,LA,alexandria-la
Baton Rouge,716,30.4507462,-91.154551,LA,baton-rouge-la
Lafayette,642,30.2240897,-92.0198427,LA,lafayette-la
Lake Charles,643,30.2265949,-93.2173758,LA,lake-charles-la
El Dorado,628,-34.6508789,-61.5838585,AR,el-dorado-ar
New Orleans,622,29.9647222,-90.0705556,LA,new-orleans-la
Shreveport,612,32.5251516,-93.7501789,LA,shreveport-la
Manchester,506,42.9956397,-71.4547891,NH,manchester-nh
New Bedford,521,41.6362152,-70.934205,MA,new-bedford-ma
Holyoke,543,42.2042586,-72.6162009,MA,holyoke-ma
Baltimore,512,39.2903848,-76.6121893,MD,baltimore-md
Salisbury,576,38.3606736,-75.5993692,MD,salisbury-md
Bangor,537,44.8011821,-68.7778138,ME,bangor-me
Auburn,500,44.0978509,-70.2311655,ME,auburn-me
Presque Isle,552,46.681153,-68.0158615,ME,presque-isle-me
Alpena,583,45.0616794,-83.4327528,MI,alpena-mi
Detroit,505,42.331427,-83.0457538,MI,detroit-mi
Bay City,513,43.5944677,-83.8888647,MI,bay-city-mi
Battle Creek,563,42.3211522,-85.1797142,MI,battle-creek-mi
Lansing,551,42.732535,-84.5555347,MI,lansing-mi
Marquette,553,46.5435442,-87.395417,MI,marquette-mi
Cadillac,540,44.2519526,-85.4011619,MI,cadillac-mi
Superior,676,46.7207737,-92.1040796,WI,superior-wi
Mankato,737,44.1635775,-93.9993996,MN,mankato-mn
St. Paul,613,44.944167,-93.086075,MN,st-paul-mn
Austin,611,43.6666296,-92.9746367,MN,austin-mn
Jefferson City,604,38.5767017,-92.1735164,MO,jefferson-city-mo
Pittsburg,603,37.410884,-94.70496,KS,pittsburg-ks
Kansas City,616,39.0997265,-94.5785667,MO,kansas-city-mo
Kirksville,631,40.1947539,-92.5832496,MO,kirksville-mo
Mount Vernon,632,38.3172714,-88.9031201,IL,mount-vernon-il
Keokuk,717,40.402525,-91.394372,IA,keokuk-ia
Springfield,619,37.215326,-93.2982436,MO,springfield-mo
St. Joseph,638,39.7577778,-94.8363889,MO,st-joseph-mo
St. Louis,609,38.646991,-90.224967,MO,st-louis-mo
Gulfport,746,30.3674198,-89.0928155,MS,gulfport-ms
West Point,673,33.6076186,-88.6503254,MS,west-point-ms
Greenville,647,33.4101161,-91.0617735,MS,greenville-ms
Laurel,710,31.6940509,-89.1306124,MS,laurel-ms
Jackson,718,32.2987573,-90.1848103,MS,jackson-ms
Meridian,711,32.3643098,-88.703656,MS,meridian-ms
Billings,756,45.7832856,-108.5006904,MT,billings-mt
Bozeman,754,45.68346,-111.050499,MT,bozeman-mt
Glendive,798,47.108491,-104.710419,MT,glendive-mt
Great Falls,755,47.5002354,-111.3008083,MT,great-falls-mt
Helena,766,46.595805,-112.027031,MT,helena-mt
Missoula,762,46.872146,-113.9939982,MT,missoula-mt
Charlotte,517,35.2270869,-80.8431267,NC,charlotte-nc
Winston Salem,518,36.0998596,-80.244216,NC,winston-salem-nc
Washington,545,35.5465517,-77.0521742,NC,washington-nc
Anderson,567,34.5034394,-82.6501332,SC,anderson-sc
Durham,560,35.9940329,-78.898619,NC,durham-nc
Fayetteville,560,35.0526641,-78.8783585,NC,fayetteville-nc
Wilmington,550,34.2257255,-77.9447102,NC,wilmington-nc
Valley City,724,46.9233129,-98.0031547,ND,valley-city-nd
Dickinson,687,46.8791756,-102.7896242,ND,dickinson-nd
Williston,687,48.1469683,-103.6179745,ND,williston-nd
Scottsbluff,759,41.86714,-103.660709,NE,scottsbluff-ne
Kearney,722,40.699959,-99.083107,NE,kearney-ne
North Platte,740,41.1238873,-100.7654232,NE,north-platte-ne
Omaha,652,41.254006,-95.999258,NE,omaha-ne
Manchester,506,42.9956397,-71.4547891,NH,manchester-nh
Santa Fe,790,35.6869752,-105.937799,NM,santa-fe-nm
Las Vegas,839,36.114646,-115.172816,NV,las-vegas-nv
Reno,811,39.5296329,-119.8138027,NV,reno-nv
Troy,532,42.7284117,-73.6917851,NY,troy-ny
Binghamton,502,42.0986867,-75.9179738,NY,binghamton-ny
Buffalo,514,42.8864468,-78.8783689,NY,buffalo-ny
Plattsburgh,523,44.6994873,-73.4529124,NY,plattsburgh-ny
Elmira,565,42.0897965,-76.8077338,NY,elmira-ny
New York,501,40.7142691,-74.0059729,NY,new-york-ny
Rochester,538,43.1547845,-77.6155567,NY,rochester-ny
Syracuse,555,43.0481221,-76.1474244,NY,syracuse-ny
Utica,526,43.100903,-75.232664,NY,utica-ny
Watertown,549,43.9747838,-75.9107565,NY,watertown-ny
Cincinnati,515,39.1361111,-84.5030556,OH,cincinnati-oh
Akron,510,41.0814447,-81.5190053,OH,akron-oh
Canton,510,40.7989473,-81.378447,OH,canton-oh
Columbus,535,39.9611755,-82.9987942,OH,columbus-oh
Dayton,542,39.7589478,-84.1916069,OH,dayton-oh
Lima,558,40.742551,-84.1052256,OH,lima-oh
Toledo,547,41.6639383,-83.555212,OH,toledo-oh
Steubenville,554,40.3697905,-80.6339638,OH,steubenville-oh
Youngstown,536,41.0997803,-80.6495194,OH,youngstown-oh
Zanesville,596,39.9403453,-82.0131924,OH,zanesville-oh
Oklahoma City,650,35.4675602,-97.5164276,OK,oklahoma-city-ok
Ada,657,34.774531,-96.6783449,OK,ada-ok
Tulsa,671,36.1539816,-95.992775,OK,tulsa-ok
Wichita Falls,627,33.6953791,-98.3088441,OK,wichita-falls-ok
Lawton,627,34.6086854,-98.3903305,OK,lawton-ok
Bend,821,44.0581728,-121.3153096,OR,bend-or
Eugene,801,44.0520691,-123.0867536,OR,eugene-or
Klamath Falls,813,42.224867,-121.7816704,OR,klamath-falls-or
Portland,820,45.5234515,-122.6762071,OR,portland-or
Erie,516,42.1292241,-80.085059,PA,erie-pa
York,566,39.9625984,-76.727745,PA,york-pa
Altoona,574,40.5186809,-78.3947359,PA,altoona-pa
Philadelphia,504,39.952335,-75.163789,PA,philadelphia-pa
Pittsburgh,508,40.4406248,-79.9958864,PA,pittsburgh-pa
Scranton,577,41.408969,-75.6624122,PA,scranton-pa
New Bedford,521,41.6362152,-70.934205,MA,new-bedford-ma
Charleston,519,32.7765656,-79.9309216,SC,charleston-sc
Columbia,546,34.0007104,-81.0348144,SC,columbia-sc
Myrtle Beach,570,33.6890603,-78.8866943,SC,myrtle-beach-sc
Anderson,567,34.5034394,-82.6501332,SC,anderson-sc
Rapid City,764,44.0805434,-103.2310149,SD,rapid-city-sd
Sioux Falls,725,43.5499749,-96.700327,SD,sioux-falls-sd
Mitchell,725,43.7094283,-98.0297992,SD,mitchell-sd
Chattanooga,575,35.0456297,-85.3096801,TN,chattanooga-tn
Jackson,639,35.6145169,-88.8139469,TN,jackson-tn
Knoxville,557,35.9606384,-83.9207392,TN,knoxville-tn
Memphis,640,35.1495343,-90.0489801,TN,memphis-tn
Nashville,659,36.1658899,-86.7844432,TN,nashville-tn
Cities,531,36.472723,-82.4106862,TN-VA,cities-tn-va
Sweetwater,662,32.4709519,-100.4059384,TX,sweetwater-tx
Amarillo,634,35.2219971,-101.8312969,TX,amarillo-tx
Austin,635,30.267153,-97.7430608,TX,austin-tx
Port Arthur,692,29.8849504,-93.939947,TX,port-arthur-tx
Corpus Christi,600,27.8005828,-97.396381,TX,corpus-christi-tx
Ft. Worth,623,32.725409,-97.3208496,TX,ft-worth-tx
El Paso,765,31.7587198,-106.4869314,TX,el-paso-tx
McAllen,636,26.2034071,-98.2300124,TX,mcallen-tx
Houston,618,29.7628844,-95.3830615,TX,houston-tx
Laredo,749,27.506407,-99.5075421,TX,laredo-tx
Lubbock,651,33.5778631,-101.8551665,TX,lubbock-tx
Midland,633,31.9973456,-102.0779146,TX,midland-tx
San Angelo,661,31.4637723,-100.4370375,TX,san-angelo-tx
San Antonio,641,29.4241219,-98.4936282,TX,san-antonio-tx
Ada,657,34.774531,-96.6783449,OK,ada-ok
Longview,709,32.5007037,-94.7404891,TX,longview-tx
Lufkin,709,31.3382406,-94.729097,TX,lufkin-tx
Nacogdoches,709,31.6035129,-94.6554874,TX,nacogdoches-tx
Victoria,626,28.8052674,-97.0035982,TX,victoria-tx
Bryan,625,30.6743643,-96.3699632,TX,bryan-tx
Salt Lake City,770,40.7607793,-111.8910474,UT,salt-lake-city-ut
Charlottesville,584,38.0293059,-78.4766781,VA,charlottesville-va
Harrisonburg,569,38.4495688,-78.8689155,VA,harrisonburg-va
Newport News,544,36.9787588,-76.428003,VA,newport-news-va
Petersburg,556,37.2279279,-77.4019267,VA,petersburg-va
Lynchburg,573,37.4137536,-79.1422464,VA,lynchburg-va
Plattsburgh,523,44.6994873,-73.4529124,NY,plattsburgh-ny
Tacoma,819,47.2528768,-122.4442906,WA,tacoma-wa
Spokane,881,47.6587802,-117.4260466,WA,spokane-wa
Kennewick,810,46.2112458,-119.1372338,WA,kennewick-wa
Superior,676,46.7207737,-92.1040796,WI,superior-wi
Appleton,658,44.2619309,-88.4153847,WI,appleton-wi
Eau Claire,702,44.811349,-91.4984941,WI,eau-claire-wi
Madison,669,43.0730517,-89.4012302,WI,madison-wi
Milwaukee,617,43.0389025,-87.9064736,WI,milwaukee-wi
Rhinelander,705,45.6366228,-89.4120753,WI,rhinelander-wi
Oak Hill,559,37.9723339,-81.1487135,WV,oak-hill-wv
Huntington,564,38.4192496,-82.445154,WV,huntington-wv
Weston,598,39.0384274,-80.467313,WV,weston-wv
Parkersburg,597,39.2667418,-81.5615135,WV,parkersburg-wv
Steubenville,554,40.3697905,-80.6339638,OH,steubenville-oh
Riverton,767,43.0249592,-108.3801036,WY,riverton-wy
